번호,관리기관,버스정류장명,경도,위도,버스정류장 외국어 음성안내 정보시스템 설치여부,관리기관명,데이터기준일자
1,경기도 양주시,e편한세상11단지.옥정중심상가,127.091869,37.820082,N,양주시 대중교통과,2023-08-23
2,경기도 양주시,e편한세상11단지.푸르지오9단지,127.091469,37.821339,N,양주시 대중교통과,2023-08-23
3,경기도 양주시,e편한세상15단지,127.085733,37.817549,N,양주시 대중교통과,2023-08-23
4,경기도 양주시,e편한세상15단지,127.084445,37.817071,N,양주시 대중교통과,2023-08-23
5,경기도 양주시,e편한세상15단지정문,127.083137,37.812691,N,양주시 대중교통과,2023-08-23
6,경기도 양주시,e편한세상15단지정문,127.083116,37.814065,N,양주시 대중교통과,2023-08-23
7,경기도 양주시,e편한세상15단지후문,127.083121,37.816454,N,양주시 대중교통과,2023-08-23
8,경기도 양주시,e편한세상15단지후문,127.083486,37.817785,N,양주시 대중교통과,2023-08-23
9,경기도 양주시,e편한세상18단지,127.092714,37.81802,N,양주시 대중교통과,2023-08-23
10,경기도 양주시,e편한세상18단지,127.093409,37.818242,N,양주시 대중교통과,2023-08-23
11,경기도 양주시,e편한세상19단지,127.088548,37.81353,N,양주시 대중교통과,2023-08-23
12,경기도 양주시,e편한세상19단지,127.085844,37.811072,N,양주시 대중교통과,2023-08-23
13,경기도 양주시,GS자이1.2단지,127.1055141,37.79651165,N,양주시 대중교통과,2023-08-23
14,경기도 양주시,GS자이3.4단지,127.1080914,37.7988935,N,양주시 대중교통과,2023-08-23
15,경기도 양주시,GS자이5단지,127.1002697,37.797309,N,양주시 대중교통과,2023-08-23
16,경기도 양주시,GS자이5단지,127.1004268,37.79743572,N,양주시 대중교통과,2023-08-23
17,경기도 양주시,KBS중계소.금용아파트,127.0525005,37.82632293,N,양주시 대중교통과,2023-08-23
18,경기도 양주시,KBS중계소.금용아파트,127.0531711,37.82701637,N,양주시 대중교통과,2023-08-23
19,경기도 양주시,TS1.2차아파트,127.0824798,37.80064846,N,양주시 대중교통과,2023-08-23
20,경기도 양주시,TS1.2차아파트,127.0822548,37.80096257,N,양주시 대중교통과,2023-08-23
21,경기도 양주시,TS3차아파트,127.0870063,37.80550001,N,양주시 대중교통과,2023-08-23
22,경기도 양주시,TS3차아파트,127.0878785,37.80571431,N,양주시 대중교통과,2023-08-23
